date,year,month,weekday,is_weekend,season,demand_gwh_daily,demand_low_gwh_daily(5%),demand_high_gwh_daily(7%),demand_gwh,demand_low_gwh(5%),demand_high_gwh(7%),gdp_current_usd_billion,population_total,temp_c_synthetic,rainfall_mm_synthetic,humidity_pct_synthetic,lat,lon,country,aggregation,day_type,day_of_year,week_of_year,quarter
2022-01-01,2022,1,Saturday,True,short_dry,26.596999999999998,26.208603450445402,35.54648753964512,10008.0,9676.229273860105,13071.179857116425,113.42,54241584,24.07,1.52,55.3,-0.023559,37.906193,Kenya,national,Weekend,1,52,1
2022-01-02,2022,1,Sunday,True,short_dry,26.596999999999998,26.208603450445402,35.54648753964512,10008.0,9676.229273860105,13071.179857116425,113.42,54241584,26.72,2.11,51.0,-0.023559,37.906193,Kenya,national,Weekend,2,52,1
2022-01-03,2022,1,Monday,False,short_dry,27.419,26.208603450445402,35.54648753964512,10008.0,9676.229273860105,13071.179857116425,113.42,54241584,26.45,2.48,55.0,-0.023559,37.906193,Kenya,national,Weekday,3,1,1
2022-01-04,2022,1,Tuesday,False,short_dry,27.419,26.208603450445402,35.54648753964512,10008.0,9676.229273860105,13071.179857116425,113.42,54241584,22.98,2.7,56.5,-0.023559,37.906193,Kenya,national,Weekday,4,1,1
2022-01-05,2022,1,Wednesday,False,short_dry,27.419,26.208603450445402,35.54648753964512,10008.0,9676.229273860105,13071.179857116425,113.42,54241584,23.4,2.89,59.1,-0.023559,37.906193,Kenya,national,Weekday,5,1,1
2022-01-06,2022,1,Thursday,False,short_dry,27.419,26.208603450445402,35.54648753964512,10008.0,9676.229273860105,13071.179857116425,113.42,54241584,22.95,2.27,48.5,-0.023559,37.906193,Kenya,national,Weekday,6,1,1
2022-01-07,2022,1,Friday,False,short_dry,27.419,26.208603450445402,35.54648753964512,10008.0,9676.229273860105,13071.179857116425,113.42,54241584,25.14,0.0,59.4,-0.023559,37.906193,Kenya,national,Weekday,7,1,1
2022-01-08,2022,1,Saturday,True,short_dry,26.596999999999998,26.208603450445402,35.54648753964512,10008.0,9676.229273860105,13071.179857116425,113.42,54241584,23.89,4.26,64.5,-0.023559,37.906193,Kenya,national,Weekend,8,1,1
2022-01-09,2022,1,Sunday,True,short_dry,26.596999999999998,26.208603450445402,35.54648753964512,10008.0,9676.229273860105,13071.179857116425,113.42,54241584,25.49,0.0,62.8,-0.023559,37.906193,Kenya,national,Weekend,9,1,1
2022-01-10,2022,1,Monday,False,short_dry,27.419,26.208603450445402,35.54648753964512,10008.0,9676.229273860105,13071.179857116425,113.42,54241584,20.31,3.93,50.0,-0.023559,37.906193,Kenya,national,Weekday,10,2,1
